Grape,Country,Wine name,Wine rating average,Wine ratings count
Cabernet Sauvignon,us,Cabernet Sauvignon,4.8,2941
Cabernet Sauvignon,es,Mágico,4.8,146
Cabernet Sauvignon,es,Unico,4.7,45140
Cabernet Sauvignon,us,Special Selection Cabernet Sauvignon,4.7,41236
Cabernet Sauvignon,au,Grange,4.7,24356
Cabernet Sauvignon,es,Unico Reserva Especial Edición,4.7,13025
Cabernet Sauvignon,us,Harlan Estate Red,4.7,7231
Cabernet Sauvignon,us,IX Estate Red,4.7,2810
Cabernet Sauvignon,es,Don PX Convento Selección,4.7,1224
Cabernet Sauvignon,za,Book 17 XVII,4.7,814
Cabernet Sauvignon,au,The Laird,4.7,627
Cabernet Sauvignon,hu,Eszencia,4.7,488
Cabernet Sauvignon,za,The Black Lion,4.7,476
Cabernet Sauvignon,es,La Vina de Corteo,4.7,374
Cabernet Sauvignon,us,Cabernet Sauvignon,4.6,157944
Cabernet Sauvignon,us,Opus One,4.6,77053
Cabernet Sauvignon,es,Valbuena 5º,4.6,72784
Cabernet Sauvignon,cl,Almaviva,4.6,48075
Cabernet Sauvignon,us,Insignia,4.6,30674
Cabernet Sauvignon,cl,Clos Apalta,4.6,23256
Cabernet Sauvignon,us,Rutherford,4.6,16322
Cabernet Sauvignon,us,Cabernet Sauvignon (Signature),4.6,13730
Cabernet Sauvignon,cl,La Piu Belle,4.6,13420
Cabernet Sauvignon,za,Vin de Constance (Natural Sweet),4.6,13210
Cabernet Sauvignon,ar,Nosotros Single Vineyard Nómade,4.6,9995
Cabernet Sauvignon,us,CASK 23 Cabernet Sauvignon,4.6,9464
Cabernet Sauvignon,cl,VIK,4.6,8493
Cabernet Sauvignon,us,Continuum Estate,4.6,6949
Cabernet Sauvignon,us,Rubicon,4.6,6421
Cabernet Sauvignon,es,Pingus,4.6,6013
Cabernet Sauvignon,us,Cabernet Sauvignon,4.6,5927
Cabernet Sauvignon,cl,Red,4.6,4933
Cabernet Sauvignon,es,La Nieta,4.6,4508
Cabernet Sauvignon,us,Les Pavots,4.6,4010
Cabernet Sauvignon,es,Malleolus de Sanchomartin,4.6,3655
Cabernet Sauvignon,us,Red,4.6,3639
Cabernet Sauvignon,es,Cirsion Rioja,4.6,3474
Cabernet Sauvignon,es,Viña El Pison,4.6,3027
Cabernet Sauvignon,us,Au Paradis Cabernet Sauvignon,4.6,3004
Cabernet Sauvignon,es,Alabaster,4.6,2708
Cabernet Sauvignon,hu,Tokaji Aszú 6 Puttonyos,4.6,2366
Cabernet Sauvignon,us,La Joie,4.6,2285
Cabernet Sauvignon,es,Contador Rioja,4.6,2240
Cabernet Sauvignon,us,Maya,4.6,1570
Cabernet Sauvignon,us,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,1557
Cabernet Sauvignon,ar,Adrianna Vineyard Mundus Bacillus Terrae Malbec,4.6,1358
Cabernet Sauvignon,es,Aquilon Garnacha,4.6,1343
Cabernet Sauvignon,us,Reserve,4.6,1175
Cabernet Sauvignon,es,Finca Garbet,4.6,573
Cabernet Sauvignon,us,Cabernet Sauvignon Coeur De Vallée,4.6,544
Cabernet Sauvignon,es,La Faraona Bierzo (Corullón),4.6,423
Cabernet Sauvignon,es,Quiñon de Valmira,4.6,377
Cabernet Sauvignon,es,Touran,4.6,274
Cabernet Sauvignon,za,888 Pinotage Gold,4.6,234
Cabernet Sauvignon,za,The Journeyman,4.6,231
Cabernet Sauvignon,us,Cabernet Sauvignon,4.6,152
Cabernet Sauvignon,us,EABA,4.6,151
Cabernet Sauvignon,us,Lithology Cabernet Sauvignon,4.6,148
Cabernet Sauvignon,es,Gran Buig Priorat,4.6,125
Cabernet Sauvignon,es,Ginés Liébana Pedro Ximénez,4.6,120
Cabernet Sauvignon,hu,Aszú 6 Puttonyos Tokaj,4.6,54
Cabernet Sauvignon,es,Palo Cortado Añada,4.6,27
Cabernet Sauvignon,es,Ribera del Duero,4.5,69278
Cabernet Sauvignon,es,Flor de Pingus,4.5,32932
Cabernet Sauvignon,us,Papillon,4.5,30682
Cabernet Sauvignon,es,Clio,4.5,24553
Cabernet Sauvignon,es,Castillo Ygay Gran Reserva Especial Tinto,4.5,23170
Cabernet Sauvignon,us,Dominus (Christian Moueix),4.5,22117
Cabernet Sauvignon,us,Isosceles,4.5,18920
Cabernet Sauvignon,ar,Gran Enemigo,4.5,18739
Cabernet Sauvignon,cl,Aconcagua Valley,4.5,18482
Cabernet Sauvignon,us,Overture,4.5,16804
Cabernet Sauvignon,us,One Point Five Cabernet Sauvignon,4.5,16341
Cabernet Sauvignon,us,Monte Bello,4.5,11978
Cabernet Sauvignon,es,Gran Reserva 890,4.5,11347
Cabernet Sauvignon,us,FAY Cabernet Sauvignon,4.5,10840
Cabernet Sauvignon,ar,Bramare Marchiori Vineyard Malbec,4.5,8713
Cabernet Sauvignon,ar,Finca Altamira Malbec,4.5,8093
Cabernet Sauvignon,ar,Finca Bella Vista Malbec,4.5,7663
Cabernet Sauvignon,md,Lupi Rezerva,4.5,7604
Cabernet Sauvignon,us,Relentless,4.5,6633
Cabernet Sauvignon,us,S.L.V. Cabernet Sauvignon,4.5,6560
Cabernet Sauvignon,us,Howell Mountain Cabernet Sauvignon,4.5,6466
Cabernet Sauvignon,hu,Tokaji Aszú 5 Puttonyos,4.5,5449
Cabernet Sauvignon,es,Trasnocho,4.5,3399
